name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Ottawa Fire Services,"Come and learn how Fire Fighters attack fires, what hazards they face and how they overcome them. See what its like to be a  Fire Fighter in Rural Ottawa. Come and participate in this open discussion where you can ask questions to our local Fire Fighters. ",0,,1,,Tracie Langford,,Bill Bell & Jonathan Wilker,Room 113,30,2
Ottawa Fire Services,"Come and learn how Fire Fighters attack fires, what hazards they face and how they overcome them. See what its like to be a  Fire Fighter in Rural Ottawa. Come and participate in this open discussion where you can ask questions to our local Fire Fighters. ",0,,2,,Tracie Langford,,Bill Bell & Jonathan Wilker,Room 113,30,2
Ottawa Fire Services,"Come and learn how Fire Fighters attack fires, what hazards they face and how they overcome them. See what its like to be a  Fire Fighter in Rural Ottawa. Come and participate in this open discussion where you can ask questions to our local Fire Fighters. ",0,,3,,Tracie Langford,,Bill Bell & Jonathan Wilker,Room 113,30,2
Pharmacist,"Ever wondered what it is like to be a Pharmacist?  Join the discussion to find out more about the educational path involved, career opportunities and the current job market.  An great opportunity to have all your questions answered.",0,,1,,Tracie Langford,,Tamara Awada,Room 214,30,2
Photo Production,Want to make that photo just a little bit more spectacular? Join this session to learn how to use production tools such as editing software and green screens to capture and enhance those memorable moments.,0,,2,,Tracie Langford/Jonida Rizvanolli,,Ali Hassani,Room 132,25,2
Real Estate and Custom Home Building,"Interested in real estate, custom home building?  This workshop will cover information on both topics.",0,,3,,Jen Stewart,,Connie Rivington-Howie,Room 114,30,2
Safetalk Training                                (SOS members),This training session is open to Sources of Strength (SOS) members only.  You must be 16 years of age or older to participate.,0,,1,"1,2,3",Tracie Langford/Sarah Kinney/Greg Mountenay,,0,Portable ??,30,2
Skills Canada,"ÒSkills Work!¨ WhatÕs Out There?Ó This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies.  Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training.  The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,1,,Nerina Doyle/Tracie Langford,,Dan Cardinal,Room 221,30,2
Skills Canada,"ÒSkills Work!¨ WhatÕs Out There?Ó This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies.  Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training.  The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,2,,Nerina Doyle/Tracie Langford,,Dan Cardinal,Room 221,30,2
Skills Canada,"ÒSkills Work!¨ WhatÕs Out There?Ó This interactive PowerPoint presentation focuses on the career opportunities that exist in the skilled trades and technologies.  Topics that are covered include: apprenticeship training, profiling careers in the skilled trades, trends in the workplace, and how students can get involved now and in years to come in apprenticeship training.  The presentation lasts for approximately 60 minutes and questions are encouraged during and after the presentation.",0,,3,,Nerina Doyle/Tracie Langford,,Dan Cardinal,Room 221,30,2
